x,y,z
-10.0,-10.0,0.0
-6.0,-10.0,0.0
-2.0,-10.0,0.0
2.0,-10.0,0.0
6.0,-10.0,0.0
10.0,-10.0,0.0
10.0,-6.0,0.0
10.0,-2.0,0.0
10.0,2.0,0.0
10.0,6.0,0.0
10.0,10.0,0.0
6.0,10.0,0.0
2.0,10.0,0.0
-2.0,10.0,0.0
-6.0,10.0,0.0
-10.0,10.0,0.0
-10.0,6.0,0.0
-10.0,2.0,0.0
-10.0,-2.0,0.0
-10.0,-6.0,0.0
-10.0,-10.0,0.0
-10.0,-10.0,2.0
-6.0,-10.0,2.0
-2.0,-10.0,2.0
2.0,-10.0,2.0
6.0,-10.0,2.0
10.0,-10.0,2.0
10.0,-6.0,2.0
10.0,-2.0,2.0
10.0,2.0,2.0
10.0,6.0,2.0
10.0,10.0,2.0
6.0,10.0,2.0
2.0,10.0,2.0
-2.0,10.0,2.0
-6.0,10.0,2.0
-10.0,10.0,2.0
-10.0,6.0,2.0
-10.0,2.0,2.0
-10.0,-2.0,2.0
-10.0,-6.0,2.0
-10.0,-10.0,2.0
-10.0,-10.0,4.0
-6.0,-10.0,4.0
-2.0,-10.0,4.0
2.0,-10.0,4.0
6.0,-10.0,4.0
10.0,-10.0,4.0
10.0,-6.0,4.0
10.0,-2.0,4.0
10.0,2.0,4.0
10.0,6.0,4.0
10.0,10.0,4.0
6.0,10.0,4.0
2.0,10.0,4.0
-2.0,10.0,4.0
-6.0,10.0,4.0
-10.0,10.0,4.0
-10.0,6.0,4.0
-10.0,2.0,4.0
-10.0,-2.0,4.0
-10.0,-6.0,4.0
-10.0,-10.0,4.0
-10.0,-10.0,6.0
-6.0,-10.0,6.0
-2.0,-10.0,6.0
2.0,-10.0,6.0
6.0,-10.0,6.0
10.0,-10.0,6.0
10.0,-6.0,6.0
10.0,-2.0,6.0
10.0,2.0,6.0
10.0,6.0,6.0
10.0,10.0,6.0
6.0,10.0,6.0
2.0,10.0,6.0
-2.0,10.0,6.0
-6.0,10.0,6.0
-10.0,10.0,6.0
-10.0,6.0,6.0
-10.0,2.0,6.0
-10.0,-2.0,6.0
-10.0,-6.0,6.0
-10.0,-10.0,6.0
-10.0,-10.0,8.0
-6.0,-10.0,8.0
-2.0,-10.0,8.0
2.0,-10.0,8.0
6.0,-10.0,8.0
10.0,-10.0,8.0
10.0,-6.0,8.0
10.0,-2.0,8.0
10.0,2.0,8.0
10.0,6.0,8.0
10.0,10.0,8.0
6.0,10.0,8.0
2.0,10.0,8.0
-2.0,10.0,8.0
-6.0,10.0,8.0
-10.0,10.0,8.0
-10.0,6.0,8.0
-10.0,2.0,8.0
-10.0,-2.0,8.0
-10.0,-6.0,8.0
-10.0,-10.0,8.0
-10.0,-10.0,10.0
-6.0,-10.0,10.0
-2.0,-10.0,10.0
2.0,-10.0,10.0
6.0,-10.0,10.0
10.0,-10.0,10.0
10.0,-6.0,10.0
10.0,-2.0,10.0
10.0,2.0,10.0
10.0,6.0,10.0
10.0,10.0,10.0
6.0,10.0,10.0
2.0,10.0,10.0
-2.0,10.0,10.0
-6.0,10.0,10.0
-10.0,10.0,10.0
-10.0,6.0,10.0
-10.0,2.0,10.0
-10.0,-2.0,10.0
-10.0,-6.0,10.0
-10.0,-10.0,10.0
-10.0,-10.0,12.0
-6.0,-10.0,12.0
-2.0,-10.0,12.0
2.0,-10.0,12.0
6.0,-10.0,12.0
10.0,-10.0,12.0
10.0,-6.0,12.0
10.0,-2.0,12.0
10.0,2.0,12.0
10.0,6.0,12.0
10.0,10.0,12.0
6.0,10.0,12.0
2.0,10.0,12.0
-2.0,10.0,12.0
-6.0,10.0,12.0
-10.0,10.0,12.0
-10.0,6.0,12.0
-10.0,2.0,12.0
-10.0,-2.0,12.0
-10.0,-6.0,12.0
-10.0,-10.0,12.0
-10.0,-10.0,14.0
-6.0,-10.0,14.0
-2.0,-10.0,14.0
2.0,-10.0,14.0
6.0,-10.0,14.0
10.0,-10.0,14.0
10.0,-6.0,14.0
10.0,-2.0,14.0
10.0,2.0,14.0
10.0,6.0,14.0
10.0,10.0,14.0
6.0,10.0,14.0
2.0,10.0,14.0
-2.0,10.0,14.0
-6.0,10.0,14.0
-10.0,10.0,14.0
-10.0,6.0,14.0
-10.0,2.0,14.0
-10.0,-2.0,14.0
-10.0,-6.0,14.0
-10.0,-10.0,14.0
-10.0,-10.0,16.0
-6.0,-10.0,16.0
-2.0,-10.0,16.0
2.0,-10.0,16.0
6.0,-10.0,16.0
10.0,-10.0,16.0
10.0,-6.0,16.0
10.0,-2.0,16.0
10.0,2.0,16.0
10.0,6.0,16.0
10.0,10.0,16.0
6.0,10.0,16.0
2.0,10.0,16.0
-2.0,10.0,16.0
-6.0,10.0,16.0
-10.0,10.0,16.0
-10.0,6.0,16.0
-10.0,2.0,16.0
-10.0,-2.0,16.0
-10.0,-6.0,16.0
-10.0,-10.0,16.0
-10.0,-10.0,18.0
-6.0,-10.0,18.0
-2.0,-10.0,18.0
2.0,-10.0,18.0
6.0,-10.0,18.0
10.0,-10.0,18.0
10.0,-6.0,18.0
10.0,-2.0,18.0
10.0,2.0,18.0
10.0,6.0,18.0
10.0,10.0,18.0
6.0,10.0,18.0
2.0,10.0,18.0
-2.0,10.0,18.0
-6.0,10.0,18.0
-10.0,10.0,18.0
-10.0,6.0,18.0
-10.0,2.0,18.0
-10.0,-2.0,18.0
-10.0,-6.0,18.0
-10.0,-10.0,18.0
